Ref,Val,Package,PosX,PosY,Rot,Side
"C8","1uF/16V","C_0402_1005Metric",28.257000,9.473000,180.000000,bottom
"C9","1uF/16V","C_0402_1005Metric",26.394000,8.131000,180.000000,bottom
"C10","10uF/10V","C_0603_1608Metric",20.417500,2.304500,180.000000,bottom
"C11","22uF/10V","C_0805_2012Metric",16.202500,10.629500,180.000000,bottom
"C12","22uF/10V","C_0805_2012Metric",16.222500,8.599500,180.000000,bottom
"C13","0.01uF/50V","C_0402_1005Metric",26.414000,6.198000,180.000000,bottom
"C19","4.7uF/6.3V","C_0402_1005Metric",-7.740000,-1.180000,-90.000000,bottom
"C20","4.7uF/6.3V","C_0402_1005Metric",-9.670000,-1.180000,-90.000000,bottom
"C24","4.7uF/6.3V","C_0402_1005Metric",-5.810000,-10.380000,-90.000000,bottom
"C25","4.7uF/6.3V","C_0402_1005Metric",-6.765000,-10.360000,-90.000000,bottom
"C26","4.7uF/6.3V","C_0402_1005Metric",-8.700000,-1.180000,-90.000000,bottom
"C27","4.7uF/6.3V","C_0402_1005Metric",-10.650000,-1.180000,-90.000000,bottom
"C30","4.7uF/6.3V","C_0402_1005Metric",10.058000,-0.695000,0.000000,bottom
"C31","4.7uF/6.3V","C_0402_1005Metric",10.069000,0.254000,0.000000,bottom
"C32","0.1uF/50V","C_0402_1005Metric",10.042000,1.322000,0.000000,bottom
"C33","4.7uF/6.3V","C_0402_1005Metric",10.046000,2.308000,0.000000,bottom
"C34","0.1uF/50V","C_0402_1005Metric",10.042000,3.295000,0.000000,bottom
"C35","0.1uF/50V","C_0402_1005Metric",10.077000,-4.222000,0.000000,bottom
"C36","4.7uF/6.3V","C_0402_1005Metric",10.080000,-2.280000,0.000000,bottom
"C37","0.1uF/50V","C_0402_1005Metric",10.077000,-3.251000,0.000000,bottom
"C42","22uF/10V","C_0805_2012Metric",25.565000,4.635000,180.000000,bottom
"C43","0.1uF/50V","C_0402_1005Metric",24.815000,3.125000,180.000000,bottom
"C44","0.1uF/50V","C_0402_1005Metric",33.555000,-2.420000,0.000000,bottom
